procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 85043124  23556 11639176    0    0    38  6426 90951   14  1  1 98  0  0  0
 0  0      0 85041400  23556 11639184    0    0     0     0  672  371  0  0 100  0  0  0
 0  0      0 85041160  23556 11639188    0    0     0    19  789  534  0  0 100  0  0  0
 0  0      0 85040164  23556 11639196    0    0     0     0  718  495  0  0 100  0  0  0
 0  0      0 85039940  23556 11639328    0    0     0     0  318  225  0  0 100  0  0  0
 0  0      0 85039940  23556 11639344    0    0     0     0  114  131  0  0 100  0  0  0
 0  0      0 85039940  23556 11639364    0    0     0     0  405  239  0  0 100  0  0  0
 0  0      0 85039688  23560 11639384    0    0     0    10  124  134  0  0 100  0  0  0
 0  0      0 85039688  23560 11639400    0    0     0     0  148  190  0  0 100  0  0  0
 0  0      0 85039436  23560 11639424    0    0     0     0  347  227  0  0 100  0  0  0
12  0      0 84947340  23560 11640292    0    0     0     0 44052 12840  1  1 99  0  0  0
10  0      0 84832680  23560 11747192    0    0     0     0 1423688 1441072 13 15 72  0  0  0
13  0      0 84727968  23560 11851928    0    0     0     0 1439297 1474802 13 14 73  0  0  0
29  0      0 84616764  23560 11961280    0    0     0    11 1454585 1514511 12 14 74  0  0  0
 4  0      0 84506708  23560 12069840    0    0     0     0 1442814 1474597 14 14 73  0  0  0
 9  0      0 84395552  23560 12180740    0    0     0     0 1459843 1522454 14 15 71  0  0  0
11  0      0 84285276  23560 12289952    0    0     0     0 1446398 1490005 13 14 73  0  0  0
10  0      0 84174548  23560 12398100    0    0     0     0 1428156 1443667 13 15 72  0  0  0
17  0      0 84063556  23560 12507136    0    0     0     6 1430000 1453318 14 14 72  0  0  0
 5  0      0 83952480  23560 12617240    0    0     0     0 1443306 1480364 14 14 73  0  0  0
16  0      0 83844036  23560 12725536    0    0     0     0 1438307 1471196 14 15 72  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
22  0      0 83735876  23560 12834280    0    0     0     0 1475553 1567386 13 14 73  0  0  0
15  0      0 83632168  23560 12944532    0    0     0     0 1424597 1424018 14 16 71  0  0  0
10  0      0 83521444  23560 13054836    0    0     0     6 1457700 1522250 13 13 74  0  0  0
21  0      0 83412812  23560 13162220    0    0     0     0 1438502 1468362 13 14 73  0  0  0
14  0      0 83302300  23560 13272628    0    0     0     0 1457871 1522994 15 14 71  0  0  0
14  0      0 83189268  23560 13383240    0    0     0     0 1478520 1578584 13 15 73  0  0  0
16  0      0 83080452  23560 13492264    0    0     0    10 1460840 1531462 14 15 71  0  0  0
10  0      0 82973084  23560 13600932    0    0     0    17 1469872 1558495 14 14 72  0  0  0
 8  0      0 82867176  23560 13711380    0    0     0     0 1452043 1506646 14 15 71  0  0  0
