procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95949776  23592 730912    0    0     7   252 72410   13  1  1 99  0  0  0
 0  0      0 95948820  23592 730916    0    0     0     0  768  417  0  0 100  0  0  0
 0  0      0 95950760  23592 730924    0    0     0    49  799  541  0  0 100  0  0  0
 0  0      0 95950156  23592 730932    0    0     0     0  579  331  0  0 100  0  0  0
 0  0      0 95949960  23592 731032    0    0     0     0  520  239  0  0 100  0  0  0
 0  0      0 95949736  23592 731048    0    0     0     0  261  326  0  0 100  0  0  0
 0  0      0 95949764  23592 731068    0    0     0     0  121  146  0  0 100  0  0  0
 0  0      0 95949792  23592 731088    0    0     0    10  124  140  0  0 100  0  0  0
 0  0      0 95949820  23592 731104    0    0     0     0  112  125  0  0 100  0  0  0
 0  0      0 95949848  23592 731124    0    0     0     0  427  326  0  0 100  0  0  0
10  0      0 95943388  23592 731148    0    0     0     0 161727 49543  1  2 97  0  0  0
 1  0      0 95940444  23592 731228    0    0     0     0 1128705 288633  7 12 81  0  0  0
13  0      0 95940196  23592 731248    0    0     0   201 1128565 287861  8 12 80  0  0  0
12  0      0 95939184  23592 731272    0    0     0     0 1128572 289086  8 11 81  0  0  0
13  0      0 95938932  23592 731292    0    0     0     0 1128865 288323  8 11 81  0  0  0
 5  0      0 95938164  23592 731308    0    0     0     0 1130322 287731  8 12 80  0  0  0
12  0      0 95937912  23592 731336    0    0     0     0 1122219 288108  9 12 80  0  0  0
 3  0      0 95937152  23596 731352    0    0     0   121 1131155 287524 10 11 79  0  0  0
 9  0      0 95937152  23596 731372    0    0     0     0 1130161 286313  8 12 79  0  0  0
 9  0      0 95936892  23596 731396    0    0     0     0 1129993 287609  8 12 81  0  0  0
16  0      0 95937144  23596 731420    0    0     0     0 1127327 287710  9 11 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 95936892  23596 731440    0    0     0     0 1126659 288659  8 12 79  0  0  0
14  0      0 95936140  23596 731460    0    0     0     9 1124245 289047  8 10 81  0  0  0
 4  0      0 95935132  23596 731484    0    0     0   105 1128484 289710  8 12 80  0  0  0
12  0      0 95934152  23596 731504    0    0     0     0 1126859 289494  8 11 81  0  0  0
11  0      0 95933908  23596 731528    0    0     0     0 1132512 291507  9 11 80  0  0  0
