Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:43:19      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
12:43:20            0       579      2.14      2.18      1.26         0
12:43:21            0       577      2.14      2.18      1.26         0
12:43:22            0       577      1.97      2.14      1.25         0
12:43:23            1       585      1.97      2.14      1.25         0
12:43:24            6       651      1.97      2.14      1.25         0
12:43:25            6       651      1.97      2.14      1.25         0
12:43:26            5       651      1.97      2.14      1.25         0
12:43:27           11       651      2.45      2.24      1.29         0
12:43:28           10       651      2.45      2.24      1.29         0
12:43:29            6       651      2.45      2.24      1.29         0
12:43:30            8       651      2.45      2.24      1.29         0
12:43:31            8       651      2.45      2.24      1.29         0
12:43:32            8       651      2.90      2.34      1.33         0
12:43:33            9       651      2.90      2.34      1.33         0
12:43:34            7       651      2.90      2.34      1.33         0
12:43:35            8       651      2.90      2.34      1.33         0
12:43:36            7       651      2.90      2.34      1.33         0
12:43:37            7       651      3.63      2.50      1.38         0
12:43:38            9       651      3.63      2.50      1.38         0
12:43:39            8       651      3.63      2.50      1.38         0
12:43:40            9       651      3.63      2.50      1.38         0
12:43:41           10       651      3.63      2.50      1.38         0
12:43:42           11       651      4.46      2.69      1.45         0
12:43:43           11       650      4.46      2.69      1.45         0
12:43:44            7       649      4.46      2.69      1.45         0
12:43:45           10       647      4.46      2.69      1.45         0
Average:            7       640      2.96      2.35      1.33         0
