procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94645228  25144 1911684    0    0     4   470 53847    3  1  1 99  0  0  0
 0  0      0 94643972  25144 1911696    0    0     0     4  807  558  0  0 100  0  0  0
 0  0      0 94643972  25144 1911700    0    0     0    18  730  492  0  0 100  0  0  0
 0  0      0 94643720  25144 1911708    0    0     0     0  633  338  0  0 100  0  0  0
 0  0      0 94642996  25144 1911776    0    0     0     0  343  245  0  0 100  0  0  0
 0  0      0 94642996  25144 1911792    0    0     0     0  110  122  0  0 100  0  0  0
 0  0      0 94642996  25144 1911812    0    0     0     0  254  313  0  0 100  0  0  0
 0  0      0 94642996  25144 1911832    0    0     0    11  125  132  0  0 100  0  0  0
 0  0      0 94642996  25144 1911848    0    0     0     0  112  129  0  0 100  0  0  0
 0  0      0 94642996  25144 1911872    0    0     0     0  105  116  0  0 100  0  0  0
 5  0      0 94642772  25144 1911892    0    0     0     0 637177 222159  5  6 89  0  0  0
 8  0      0 94640816  25144 1911908    0    0     0     0 928064 321295  8  8 84  0  0  0
 6  0      0 94639804  25144 1911928    0    0     0     5 935066 322545  8  9 83  0  0  0
 7  0      0 94639580  25144 1911952    0    0     0     0 952422 325801  8  9 83  0  0  0
 5  0      0 94639068  25144 1911972    0    0     0     0 940792 324693  8  8 83  0  0  0
 9  0      0 94638564  25144 1911992    0    0     0     0 942062 324008  8  9 83  0  0  0
 8  0      0 94640020  25144 1912012    0    0     0     0 934699 321540  8  8 84  0  0  0
 9  0      0 94639768  25144 1912032    0    0     0     5 931165 320601  8  8 84  0  0  0
 8  0      0 94639516  25144 1912032    0    0     0     0 939678 320631  9  8 83  0  0  0
 8  0      0 94639012  25144 1912072    0    0     0     0 946666 319588  9  8 83  0  0  0
 8  0      0 94639012  25144 1912096    0    0     0     0 937764 320485  8  9 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 94638756  25144 1912116    0    0     0     0 935564 323071  8  8 84  0  0  0
 6  0      0 94637316  25144 1912136    0    0     0     5 919690 315798  8  8 84  0  0  0
11  0      0 94637312  25144 1912160    0    0     0     0 931847 318888  8  8 84  0  0  0
 9  0      0 94636804  25144 1912160    0    0     0     0 934863 318399  8  8 84  0  0  0
 5  0      0 94636552  25144 1912200    0    0     0     0 932680 319852  8  8 84  0  0  0
