procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95902292  23912 775144    0    0     6   238 80450   14  1  1 98  0  0  0
 0  0      0 95901324  23912 775148    0    0     0     0  837  552  0  0 100  0  0  0
 0  0      0 95900848  23912 775160    0    0     0    19  838  548  0  0 100  0  0  0
 0  0      0 95899852  23912 775164    0    0     0     0  593  368  0  0 100  0  0  0
 0  0      0 95899852  23912 775168    0    0     0     0  469  193  0  0 100  0  0  0
 0  0      0 95899852  23912 775184    0    0     0     0  263  330  0  0 100  0  0  0
 0  0      0 95899852  23912 775204    0    0     0     0  112  130  0  0 100  0  0  0
 0  0      0 95899852  23912 775224    0    0     0    10  132  139  0  0 100  0  0  0
 0  0      0 95899852  23912 775240    0    0     0     0  109  116  0  0 100  0  0  0
 0  0      0 95897080  23912 775264    0    0     0     0 1218  392  0  0 100  0  0  0
12  0      0 95891108  23912 775288    0    0     0     0 347437 322379  3  3 93  0  0  0
25  0      0 95885540  23912 775304    0    0     0     0 1416654 1599914 13 15 72  0  0  0
 2  0      0 95885380  23912 775324    0    0     0     0 1422888 1617172 12 15 72  0  0  0
 7  0      0 95885164  23916 775344    0    0     0     9 1419211 1600136 12 15 73  0  0  0
13  0      0 95884072  23916 775368    0    0     0     0 1408919 1577616 13 14 72  0  0  0
 6  0      0 95883488  23916 775384    0    0     0     0 1434135 1646054 12 14 73  0  0  0
12  0      0 95882496  23916 775408    0    0     0     0 1420433 1616045 13 15 72  0  0  0
18  0      0 95882052  23916 775428    0    0     0     0 1415744 1592743 12 14 73  0  0  0
21  0      0 95880684  23916 775444    0    0     0     5 1419823 1602941 12 15 73  0  0  0
 3  0      0 95880304  23916 775464    0    0     0     0 1428818 1630252 12 14 74  0  0  0
14  0      0 95879440  23916 775484    0    0     0     0 1430280 1630577 12 15 73  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95878736  23916 775504    0    0     0     0 1418958 1602290 13 15 73  0  0  0
14  0      0 95878732  23916 775524    0    0     0     0 1418350 1599171 11 14 75  0  0  0
15  0      0 95877484  23920 775544    0    0     0     5 1413551 1586922 13 15 72  0  0  0
 5  0      0 95875680  23920 775564    0    0     0     0 1408485 1574955 12 14 74  0  0  0
16  0      0 95875296  23920 775580    0    0     0     0 1427883 1633403 11 15 73  0  0  0
