procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95905376  23544 789364    0    0    10   401 86252   17  0  1 99  0  0  0
 0  0      0 95905124  23544 789372    0    0     0     0  675  332  0  0 100  0  0  0
 0  0      0 95904880  23544 789376    0    0     0     0  715  470  0  0 100  0  0  0
 0  0      0 95904884  23544 789384    0    0     0    14  585  329  0  0 100  0  0  0
 0  0      0 95904884  23544 789384    0    0     0     0  114  137  0  0 100  0  0  0
 0  0      0 95904884  23544 789384    0    0     0     0   92  108  0  0 100  0  0  0
 0  1      0 95888532  23556 789384    0    0     0   217  919 1105  0  0 100  0  0  0
 8  0      0 95846292  23568 789680    0    0     0   379 1384007 1358155  3 15 82  0  0  0
12  0      0 95844492  23568 789680    0    0     0     0 1686010 1673058  4 18 78  0  0  0
 0  0      0 95839448  23568 789680    0    0     0     0 1672167 1660964  3 18 79  0  0  0
 9  0      0 95837884  23568 789684    0    0     0     0 1645583 1621535  4 19 76  0  0  0
 5  0      0 95837868  23568 789684    0    0     0     0 1665194 1648262  4 19 77  0  0  0
10  0      0 95835588  23568 789684    0    0     0    14 1686561 1671177  3 17 79  0  0  0
 9  0      0 95832728  23568 789688    0    0     0     0 1662098 1643343  3 18 79  0  0  0
 6  0      0 95831636  23568 789688    0    0     0     0 1687443 1671529  4 18 79  0  0  0
13  0      0 95829720  23568 789692    0    0     0     0 1669695 1650279  3 19 78  0  0  0
10  0      0 95827992  23568 789692    0    0     0     0 1655666 1638623  4 19 77  0  0  0
 1  0      0 95828088  23572 789692    0    0     0     5 1659037 1644052  4 20 76  0  0  0
 5  0      0 95827736  23572 789692    0    0     0     0 1699001 1686903  3 18 79  0  0  0
 9  0      0 95827764  23572 789692    0    0     0     0 1665834 1651124  4 18 79  0  0  0
15  0      0 95827136  23572 789692    0    0     0     0 1680653 1664451  3 19 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  0      0 95825704  23572 789692    0    0     0     0 1682552 1672755  4 19 78  0  0  0
 4  0      0 95825048  23572 789696    0    0     0     5 1673308 1658580  4 20 76  0  0  0
13  0      0 95824428  23572 789696    0    0     0     0 1644585 1623329  4 20 76  0  0  0
 7  0      0 95825332  23572 789696    0    0     0     0 1668965 1648069  4 19 77  0  0  0
 8  0      0 95823404  23572 789700    0    0     0     0 1656303 1636750  3 18 79  0  0  0
