Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

19:51:30      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
19:51:31            0       640      2.21      2.29      2.35         0
19:51:32            0       641      2.21      2.29      2.35         0
19:51:33            0       639      2.21      2.29      2.35         0
19:51:34            0       639      2.21      2.29      2.35         0
19:51:35            0       639      2.04      2.25      2.34         0
19:51:36            0       639      2.04      2.25      2.34         0
19:51:37            0       639      2.04      2.25      2.34         0
19:51:38            0       644      2.04      2.25      2.34         0
19:51:39            9       642      2.04      2.25      2.34         0
19:51:40            1       642      1.95      2.23      2.33         0
19:51:41           11       642      1.95      2.23      2.33         0
19:51:42           12       642      1.95      2.23      2.33         0
19:51:43            8       642      1.95      2.23      2.33         0
19:51:44            1       642      1.95      2.23      2.33         0
19:51:45           14       642      2.60      2.36      2.38         0
19:51:46            8       642      2.60      2.36      2.38         0
19:51:47           11       642      2.60      2.36      2.38         0
19:51:48           17       642      2.60      2.36      2.38         0
19:51:49           12       642      2.60      2.36      2.38         0
19:51:50           11       642      2.55      2.35      2.37         0
19:51:51           12       642      2.55      2.35      2.37         0
19:51:52            1       642      2.55      2.35      2.37         0
19:51:53            8       642      2.55      2.35      2.37         0
19:51:54            2       641      2.55      2.35      2.37         0
19:51:55            5       641      2.43      2.33      2.37         0
19:51:56           10       640      2.43      2.33      2.37         0
Average:            6       641      2.28      2.30      2.36         0
