procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95900100  24100 791956    0    0     4   175 63366   13  0  1 99  0  0  0
 0  0      0 95898852  24100 791964    0    0     0     0  667  319  0  0 100  0  0  0
 0  0      0 95898600  24100 791968    0    0     0     0  637  383  0  0 100  0  0  0
 0  0      0 95898600  24100 791976    0    0     0     0  688  293  0  0 100  0  0  0
 0  0      0 95898600  24100 791976    0    0     0     0  234  248  0  0 100  0  0  0
 0  0      0 95898600  24100 791976    0    0     0     0  118  140  0  0 100  0  0  0
 0  0      0 95870768  24108 791972    0    0     0   529 2211 3497  0  0 100  0  0  0
 6  0      0 95854788  24108 792224    0    0     0    45 1342047 1339326  2 19 78  0  0  0
 7  0      0 95851816  24108 792224    0    0     0     0 1494541 1484199  3 19 79  0  0  0
12  0      0 95850960  24108 792228    0    0     0     0 1529126 1511595  2 19 79  0  0  0
13  0      0 95850540  24108 792228    0    0     0     0 1548816 1531826  2 20 78  0  0  0
14  0      0 95849772  24108 792228    0    0     0     0 1566508 1546386  3 18 79  0  0  0
 7  0      0 95849112  24108 792228    0    0     0    14 1494393 1489797  3 20 77  0  0  0
12  0      0 95847808  24108 792232    0    0     0     0 1490827 1485126  2 19 79  0  0  0
12  0      0 95847088  24108 792232    0    0     0     0 1527546 1514084  3 19 78  0  0  0
11  0      0 95845012  24108 792232    0    0     0     0 1502724 1491223  3 19 78  0  0  0
 6  0      0 95843324  24108 792236    0    0     0     0 1466128 1466967  3 19 77  0  0  0
 9  0      0 95842400  24108 792236    0    0     0     4 1536849 1528536  3 18 79  0  0  0
 9  0      0 95840400  24108 792236    0    0     0     0 1514291 1522253  2 19 79  0  0  0
10  0      0 95839204  24108 792236    0    0     0     0 1486968 1491446  3 20 77  0  0  0
 8  0      0 95838728  24108 792236    0    0     0     0 1503814 1500131  3 20 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 95838516  24108 792236    0    0     0     0 1532000 1518752  3 19 79  0  0  0
13  0      0 95838392  24108 792240    0    0     0     4 1522941 1513112  3 18 79  0  0  0
 6  0      0 95837712  24108 792240    0    0     0     0 1528843 1514575  3 19 79  0  0  0
 7  0      0 95837620  24108 792240    0    0     0     0 1553892 1543817  3 18 79  0  0  0
11  0      0 95838188  24108 792244    0    0     0     0 1544693 1540756  3 19 78  0  0  0
