Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:30:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:30:40        all      0.08      0.00      0.00      0.00      0.00     99.92
14:30:41        all      0.12      0.00      0.02      0.00      0.00     99.85
14:30:42        all      0.04      0.00      0.02      0.00      0.00     99.94
14:30:43        all      0.00      0.00      0.00      0.00      0.00    100.00
14:30:44        all      0.00      0.00      0.00      0.00      0.00    100.00
14:30:45        all      0.00      0.00      0.00      0.00      0.00    100.00
14:30:46        all      0.00      0.00      0.00      0.00      0.00    100.00
14:30:47        all      0.04      0.00      0.00      0.00      0.00     99.96
14:30:48        all      0.06      0.00      0.23      0.00      0.00     99.71
14:30:49        all     28.87      0.00     18.32      0.00      0.00     52.81
14:30:50        all     37.53      0.00     25.12      0.00      0.00     37.36
14:30:51        all     38.79      0.00     24.02      0.00      0.00     37.19
14:30:52        all     39.00      0.00     24.17      0.00      0.00     36.83
14:30:53        all     37.65      0.00     24.40      0.00      0.00     37.95
14:30:54        all     38.91      0.00     23.81      0.00      0.00     37.28
14:30:55        all     39.75      0.00     23.34      0.02      0.00     36.89
14:30:56        all     39.71      0.00     23.56      0.00      0.00     36.74
14:30:57        all     39.85      0.00     23.78      0.00      0.00     36.38
14:30:58        all     40.16      0.00     22.97      0.00      0.00     36.86
14:30:59        all     38.94      0.00     23.83      0.00      0.00     37.23
14:31:00        all     37.11      0.00     24.05      0.09      0.00     38.75
14:31:01        all     39.26      0.00     22.65      0.00      0.00     38.09
14:31:02        all     37.93      0.00     24.44      0.00      0.00     37.63
14:31:03        all     39.40      0.00     23.30      0.00      0.00     37.30
14:31:04        all     37.65      0.00     24.42      0.00      0.00     37.93
14:31:05        all     39.18      0.00     24.41      0.00      0.00     36.41
Average:        all     24.80      0.00     15.29      0.00      0.00     59.91
