procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95808480  25016 859492    0    0     6   235 96789   17  1  1 98  0  0  0
 0  0      0 95807512  25016 859500    0    0     0     0  706  417  0  0 100  0  0  0
 0  0      0 95806532  25016 859508    0    0     0    20  851  685  0  0 100  0  0  0
 0  0      0 95806028  25016 859516    0    0     0     0  655  376  0  0 100  0  0  0
 0  0      0 95809012  25016 859520    0    0     0     0  267  226  0  0 100  0  0  0
 0  0      0 95809012  25016 859536    0    0     0     0  123  153  0  0 100  0  0  0
 0  0      0 95809012  25016 859556    0    0     0     0  194  211  0  0 100  0  0  0
 0  0      0 95809012  25016 859576    0    0     0    10  123  136  0  0 100  0  0  0
 0  0      0 95809012  25016 859592    0    0     0     0  103  116  0  0 100  0  0  0
 0  0      0 95808536  25016 859616    0    0     0     0  272  195  0  0 100  0  0  0
 0  0      0 95746960  25016 860432    0    0     0     0 5243  492  0  0 100  0  0  0
14  0      0 95739148  25016 860480    0    0     0     0 1399366 1651732 13 13 74  0  0  0
18  0      0 95739148  25016 860500    0    0     0     1 1522594 1887556 13 12 75  0  0  0
 4  0      0 95739144  25016 860524    0    0     0    11 1513544 1866679 12 13 75  0  0  0
 2  0      0 95738920  25016 860544    0    0     0     0 1513163 1862468 14 12 74  0  0  0
16  0      0 95739168  25016 860560    0    0     0     0 1517721 1877609 13 14 74  0  0  0
 8  0      0 95739164  25016 860584    0    0     0     0 1519619 1880530 12 12 76  0  0  0
 7  0      0 95739164  25016 860604    0    0     0     0 1518091 1879812 12 13 75  0  0  0
 6  0      0 95739164  25016 860620    0    0     0     5 1521102 1884535 12 11 77  0  0  0
13  0      0 95739160  25016 860640    0    0     0     0 1521527 1888955 13 12 75  0  0  0
19  0      0 95738932  25016 860660    0    0     0     0 1511418 1865363 13 12 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 95738928  25016 860680    0    0     0     0 1518849 1879943 14 12 74  0  0  0
15  0      0 95738928  25016 860700    0    0     0     0 1513356 1865454 13 13 75  0  0  0
19  0      0 95734792  25016 860720    0    0     0     5 1528763 1895854 13 12 75  0  0  0
 9  0      0 95734792  25016 860740    0    0     0     0 1520820 1884635 13 13 74  0  0  0
14  0      0 95734536  25016 860760    0    0     0     0 1517448 1875646 13 13 74  0  0  0
16  0      0 95734288  25016 860780    0    0     0     0 1524697 1891879 13 12 75  0  0  0
13  0      0 95733812  25016 860800    0    0     0    11 1521528 1885703 13 12 75  0  0  0
17  0      0 95733812  25016 860816    0    0     0    18 1517612 1874220 13 13 74  0  0  0
17  0      0 95734060  25016 860840    0    0     0     0 1520152 1882056 13 13 75  0  0  0
 8  0      0 95733808  25016 860860    0    0     0     0 1524171 1887040 13 11 76  0  0  0
 6  0      0 95733808  25016 860880    0    0     0     0 1524776 1895648 13 11 75  0  0  0
10  0      0 95733808  25016 860896    0    0     0    10 1520254 1884256 14 13 74  0  0  0
 8  0      0 95733812  25016 860916    0    0     0     7 1518314 1876414 13 12 75  0  0  0
 4  0      0 95733556  25016 860944    0    0     0     0 1519122 1880357 14 12 74  0  0  0
 9  0      0 95733556  25016 860960    0    0     0     0 1519366 1879438 13 13 73  0  0  0
15  0      0 95733556  25016 860984    0    0     0     0 1518065 1877143 13 12 74  0  0  0
 8  0      0 95733556  25016 861008    0    0     0   657 1518800 1879892 13 12 75  0  0  0
 2  0      0 95733556  25016 861028    0    0     0    10 1527751 1896714 13 13 74  0  0  0
12  0      0 95705680  25064 885916    0    0     0 30231 1533199 1903410 13 12 74  0  0  0
13  0      0 95688708  25064 896780    0    0     0     0 1527092 1888410 14 13 73  0  0  0
 9  0      0 95689236  25064 898768    0    0     0     0 1520592 1879694 13 12 74  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 95687208  25064 899636    0    0     0     0 1525464 1888865 13 13 74  0  0  0
12  0      0 95685676  25064 901348    0    0     0     0 1525283 1889229 14 14 73  0  0  0
20  0      0 95683656  25064 903340    0    0     0    46 1527479 1889940 13 13 74  0  0  0
11  0      0 95680280  25064 906164    0    0     0     0 1530369 1897870 13 13 74  0  0  0
 1  0      0 95677772  25064 908884    0    0     0     0 1522256 1882663 13 13 73  0  0  0
14  0      0 95677268  25064 908912    0    0     0     0 1522358 1887772 12 12 76  0  0  0
14  0      0 95677012  25064 908932    0    0     0     0 1520117 1880779 12 12 76  0  0  0
 8  0      0 95677012  25064 908948    0    0     0     0 1519925 1884023 12 12 75  0  0  0
 1  0      0 95677012  25068 908972    0    0     0     8 1525168 1894623 14 12 74  0  0  0
 9  0      0 95677004  25068 909000    0    0     0     0 1521999 1888067 13 12 75  0  0  0
16  0      0 95676780  25068 909020    0    0     0     0 1515301 1869323 12 12 75  0  0  0
14  0      0 95676784  25068 909044    0    0     0     0 1515693 1873186 13 12 75  0  0  0
12  0      0 95667052  25068 920508    0    0     0     0 1524841 1890682 13 12 74  0  0  0
 8  0      0 95666044  25068 920772    0    0     0     6 1516029 1873085 12 13 75  0  0  0
